,Aggravated assault,Burglary,Counties/principal cities,Forcible rape,Larceny- theft,Larceny-theft,Larcenyâ€‘ theft,Motor vehicle theft,Murder and nonnegligent manslaughter,Population,Property crime,Rape 1,Robbery,Violent crime,counties,msa_label,msa_pop,year
14133,1078,636,City of Compton,42,1034,,,1135,37,95990,2805,,466,1623,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14134,438,429,City of Carson,10,1593,,,583,16,94359,2605,,220,684,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14135,328,682,City of Santa Monica,30,2099,,,327,2,88584,3108,,236,596,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14136,114,645,City of Newport Beach,4,1429,,,154,1,80377,2228,,53,172,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14137,54,288,City of Tustin,17,1106,,,181,2,69945,1575,,64,137,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14138,113,482,City of Montebello,11,912,,,554,2,63071,1948,,116,242,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14139,65,273,City of Monterey Park,3,766,,,251,2,62472,1290,,126,196,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14140,148,309,City of Gardena,8,703,,,416,5,59951,1428,,287,448,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14141,262,415,City of Paramount,11,843,,,678,12,56508,1936,,198,483,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14142,74,375,City of Arcadia,9,1183,,,146,2,56967,1704,,71,156,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14143,63,328,City of Fountain Valley,8,991,,,124,0,55973,1443,,40,111,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14144,56,333,City of Cerritos,4,1242,,,305,0,52462,1880,,78,138,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14145,37144,67583,Total area actually reporting,2788,195342,,,68668,941,100,331593,,30737,71610,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14146,2564.5,1510.8,"Rate per 100,000 inhabitants",237.7,531.1,,,,21.6,553.8,522.7,,287.3,7.3,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",12929875,2007
14147,32566,55027,Total area actually reporting,2285,151414,,,59681,864,100,266122,,27682,63397,Includes Los Angeles County,"Los Angeles-Long Beach-Glendale, CA M.D.",9929814,2007
14148,2680,1524.8,"Rate per 100,000 inhabitants",278.8,601,,,,23,638.5,554.2,,328,8.7,Includes Los Angeles County,"Los Angeles-Long Beach-Glendale, CA M.D.",9929814,2007
14149,4578,12556,Total area actually reporting,503,43928,,,8987,77,100,65471,,3055,8213,Includes Orange County,"Santa Ana-Anaheim-Irvine, CA M.D.",3000062,2007
14150,2182.3,1464.2,"Rate per 100,000 inhabitants",101.8,299.6,,,,16.8,273.8,418.5,,152.6,2.6,Includes Orange County,"Santa Ana-Anaheim-Irvine, CA M.D.",3000062,2007
14151,2063,7588,"City of Louisville Metro, KY",194,18772,,,3183,71,624030,29543,,1910,4238,"Includes Clark, Floyd, Harrison, and Washington Counties, IN and Bullitt, Henry, Jefferson, Meade, Nelson, Oldham, Shelby, Spencer, and Trimble Counties, KY","Louisville/Jefferson County, KY-IN M.S.A.",1233503,2007
14152,2574,10720,Total area actually reporting,280,28524,,,4244,85,94,43488,,2261,5200,"Includes Clark, Floyd, Harrison, and Washington Counties, IN and Bullitt, Henry, Jefferson, Meade, Nelson, Oldham, Shelby, Spencer, and Trimble Counties, KY","Louisville/Jefferson County, KY-IN M.S.A.",1233503,2007
14153,2657,11071,Estimated total,291,29961,,,4392,87,100,45424,,2305,5340,"Includes Clark, Floyd, Harrison, and Washington Counties, IN and Bullitt, Henry, Jefferson, Meade, Nelson, Oldham, Shelby, Spencer, and Trimble Counties, KY","Louisville/Jefferson County, KY-IN M.S.A.",1233503,2007
14154,3682.5,2428.9,"Rate per 100,000 inhabitants",186.9,356.1,,,,23.6,432.9,897.5,,215.4,7.1,"Includes Clark, Floyd, Harrison, and Washington Counties, IN and Bullitt, Henry, Jefferson, Meade, Nelson, Oldham, Shelby, Spencer, and Trimble Counties, KY","Louisville/Jefferson County, KY-IN M.S.A.",1233503,2007
14155,1578,3136,City of Lubbock,101,7942,,,606,15,213988,11684,,259,1953,Includes Crosby and Lubbock Counties,"Lubbock, TX M.S.A.",262990,2007
14156,1695,3627,Total area actually reporting,115,8707,,,704,15,100,13038,,267,2092,Includes Crosby and Lubbock Counties,"Lubbock, TX M.S.A.",262990,2007
14157,4957.6,3310.8,"Rate per 100,000 inhabitants",101.5,267.7,,,,43.7,795.5,1379.1,,644.5,5.7,Includes Crosby and Lubbock Counties,"Lubbock, TX M.S.A.",262990,2007
14158,227,465,City of Lynchburg,23,1754,,,162,1,67932,2381,,81,332,"Includes Amherst, Appomattox, Bedford, and Campbell Counties and Bedford and Lynchburg Cities","Lynchburg, VA M.S.A.",240526,2007
14159,371,857,Total area actually reporting,62,3664,,,333,6,100,4854,,123,562,"Includes Amherst, Appomattox, Bedford, and Campbell Counties and Bedford and Lynchburg Cities","Lynchburg, VA M.S.A.",240526,2007
14160,2018.1,1523.3,"Rate per 100,000 inhabitants",51.1,138.4,,,,25.8,233.7,356.3,,154.2,2.5,"Includes Amherst, Appomattox, Bedford, and Campbell Counties and Bedford and Lynchburg Cities","Lynchburg, VA M.S.A.",240526,2007
14161,365,1979,City of Macon,43,5166,,,852,22,93205,7997,,302,732,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties","Macon, GA M.S.A.",230317,2007
14162,558,2902,Total area actually reporting,65,7783,,,1222,30,99.4,11907,,376,1029,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties","Macon, GA M.S.A.",230317,2007
14163,563,2914,Estimated total,65,7830,,,1228,30,100,11972,,379,1037,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties","Macon, GA M.S.A.",230317,2007
14164,5198.1,3399.7,"Rate per 100,000 inhabitants",164.6,533.2,,,,28.2,450.2,1265.2,,244.4,13,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties","Macon, GA M.S.A.",230317,2007
14165,302,460,City of Madera,14,595,,,217,2,56797,1272,,97,415,Includes Madera County,"Madera, CA M.S.A.",148765,2007
14166,592,1078,Total area actually reporting,31,1600,,,506,5,100,3184,,118,746,Includes Madera County,"Madera, CA M.S.A.",148765,2007
14167,2140.3,1075.5,"Rate per 100,000 inhabitants",79.3,340.1,,,,20.8,501.5,724.6,,397.9,3.4,Includes Madera County,"Madera, CA M.S.A.",148765,2007
14168,410,2059,City of Madison,57,5658,,,507,8,225370,8224,,359,834,"Includes Columbia, Dane, and Iowa Counties","Madison, WI M.S.A.",550623,2007
14169,726,3359,Total area actually reporting,123,11956,,,831,11,99.6,16146,,444,1304,"Includes Columbia, Dane, and Iowa Counties","Madison, WI M.S.A.",550623,2007
14170,728,3367,Estimated total,123,12008,,,834,11,100,16209,,445,1307,"Includes Columbia, Dane, and Iowa Counties","Madison, WI M.S.A.",550623,2007
14171,2943.8,2180.8,"Rate per 100,000 inhabitants",80.8,151.5,,,,22.3,237.4,611.5,,132.2,2,"Includes Columbia, Dane, and Iowa Counties","Madison, WI M.S.A.",550623,2007
14172,55,865,City of Mansfield,40,1945,,,76,5,50004,2886,,63,163,Includes Richland County,"Mansfield, OH M.S.A.",126412,2007
14173,102,1526,Total area actually reporting,66,3826,,,135,7,100,5487,,81,256,Includes Richland County,"Mansfield, OH M.S.A.",126412,2007
14174,4340.6,3026.6,"Rate per 100,000 inhabitants",64.1,106.8,,,,52.2,202.5,1207.2,,80.7,5.5,Includes Richland County,"Mansfield, OH M.S.A.",126412,2007
14175,225,824,City of McAllen,27,6537,,,547,6,129455,7908,,114,372,Includes Hidalgo County,"McAllen-Edinburg-Mission, TX M.S.A.",720595,2007
14176,196,683,City of Edinburg,20,2705,,,389,1,69708,3777,,52,269,Includes Hidalgo County,"McAllen-Edinburg-Mission, TX M.S.A.",720595,2007
14177,52,370,City of Mission,8,1906,,,295,2,66216,2571,,32,94,Includes Hidalgo County,"McAllen-Edinburg-Mission, TX M.S.A.",720595,2007
14178,155,792,City of Pharr,23,2586,,,318,7,63666,3696,,64,249,Includes Hidalgo County,"McAllen-Edinburg-Mission, TX M.S.A.",720595,2007
14179,1720,6711,Total area actually reporting,177,23155,,,2853,37,99.8,32719,,520,2454,Includes Hidalgo County,"McAllen-Edinburg-Mission, TX M.S.A.",720595,2007
14180,1723,6722,Estimated total,177,23193,,,2857,37,100,32772,,521,2458,Includes Hidalgo County,"McAllen-Edinburg-Mission, TX M.S.A.",720595,2007
14181,4547.9,3218.6,"Rate per 100,000 inhabitants",72.3,396.5,,,,24.6,341.1,932.8,,239.1,5.1,Includes Hidalgo County,"McAllen-Edinburg-Mission, TX M.S.A.",720595,2007
14182,191,412,City of Medford,30,2662,,,196,0,71969,3270,,44,265,Includes Jackson County,"Medford, OR M.S.A.",199631,2007
14183,375,975,Total area actually reporting,60,4656,,,385,3,99.8,6016,,62,500,Includes Jackson County,"Medford, OR M.S.A.",199631,2007
14184,375,977,Estimated total,60,4666,,,386,3,100,6029,,62,500,Includes Jackson County,"Medford, OR M.S.A.",199631,2007
14185,3020.1,2337.3,"Rate per 100,000 inhabitants",31.1,193.4,,,,30.1,250.5,489.4,,187.8,1.5,Includes Jackson County,"Medford, OR M.S.A.",199631,2007
14186,7605,14613,City of Memphis,452,33146,,,6200,128,669264,53959,,4870,13055,"Includes Crittenden County, AR; DeSoto, Marshall, Tate, and Tunica Counties, MS; and Fayette, Shelby, and Tipton Counties, TN","Memphis, TN-MS-AR M.S.A.",1295670,2007
14187,9486,19271,Total area actually reporting,588,44954,,,7550,150,93.9,71775,,5376,15600,"Includes Crittenden County, AR; DeSoto, Marshall, Tate, and Tunica Counties, MS; and Fayette, Shelby, and Tipton Counties, TN","Memphis, TN-MS-AR M.S.A.",1295670,2007
14188,9592,19933,Estimated total,610,46694,,,7743,154,100,74370,,5424,15780,"Includes Crittenden County, AR; DeSoto, Marshall, Tate, and Tunica Counties, MS; and Fayette, Shelby, and Tipton Counties, TN","Memphis, TN-MS-AR M.S.A.",1295670,2007
14189,5739.9,3603.8,"Rate per 100,000 inhabitants",418.6,597.6,,,,47.1,1217.9,1538.4,,740.3,11.9,"Includes Crittenden County, AR; DeSoto, Marshall, Tate, and Tunica Counties, MS; and Fayette, Shelby, and Tipton Counties, TN","Memphis, TN-MS-AR M.S.A.",1295670,2007
14190,424,836,City of Merced,28,2531,,,454,7,78186,3821,,152,611,Includes Merced County,"Merced, CA M.S.A.",249018,2007
14191,1125,2434,Total area actually reporting,79,5608,,,1264,17,100,9306,,242,1463,Includes Merced County,"Merced, CA M.S.A.",249018,2007
14192,3737.1,2252,"Rate per 100,000 inhabitants",97.2,507.6,,,,31.7,587.5,977.4,,451.8,6.8,Includes Merced County,"Merced, CA M.S.A.",249018,2007
14193,3447,4829,City of Miami,57,12478,,,3876,78,410252,21183,,2537,6119,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5480920,2007
14194,706,2266,City of Fort Lauderdale,56,6581,,,865,25,187995,9712,,736,1523,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5480920,2007
14195,785,1139,City of Pompano Beach,63,3603,,,627,10,104989,5369,,452,1310,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5480920,2007
14196,529,1594,City of West Palm Beach,43,4748,,,913,12,101322,7255,,574,1158,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5480920,2007
14197,562,1354,City of Miami Beach,58,5607,,,844,4,86742,7805,,448,1072,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5480920,2007
14198,132,675,City of Boca Raton,16,2596,,,170,5,86868,3441,,83,236,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5480920,2007
14199,326,571,City of Deerfield Beach,26,1707,,,249,4,76469,2527,,144,500,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5480920,2007
14200,520,798,City of Boynton Beach,5,2507,,,273,6,69469,3578,,199,730,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5480920,2007
14201,471,753,City of Delray Beach,22,2504,,,296,3,65262,3553,,223,719,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5480920,2007
14202,25854,54562,Total area actually reporting,1598,171808,,,29669,429,100,256039,,16075,43956,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5480920,2007
14203,4671.5,3134.7,"Rate per 100,000 inhabitants",293.3,541.3,,,,29.2,802,995.5,,471.7,7.8,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach","Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",5480920,2007
14204,6265,14183,Total area actually reporting,472,47763,,,6993,105,100,68939,,4051,10893,Includes Broward County,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D.",1795143,2007
14205,3840.3,2660.7,"Rate per 100,000 inhabitants",225.7,389.6,,,,26.3,606.8,790.1,,349,5.8,Includes Broward County,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D.",1795143,2007
14206,13915,26713,Total area actually reporting,725,87420,,,17177,228,100,131310,,8872,23740,Includes Miami-Dade County,"Miami-Miami Beach-Kendall, FL M.D.",2401971,2007
14207,5466.8,3639.5,"Rate per 100,000 inhabitants",369.4,715.1,,,,30.2,988.4,1112.1,,579.3,9.5,Includes Miami-Dade County,"Miami-Miami Beach-Kendall, FL M.D.",2401971,2007
14208,5674,13666,Total area actually reporting,401,36625,,,5499,96,100,55790,,3152,9323,Includes Palm Beach County,"West Palm Beach-Boca Raton-Boynton Beach, FL M.D.",1283806,2007
14209,4345.7,2852.8,"Rate per 100,000 inhabitants",245.5,428.3,,,,31.2,726.2,1064.5,,442,7.5,Includes Palm Beach County,"West Palm Beach-Boca Raton-Boynton Beach, FL M.D.",1283806,2007
14210,47,306,City of Michigan City,14,1435,,,187,3,32008,1928,,82,146,Includes La Porte County,"Michigan City-La Porte, IN M.S.A.",110465,2007
14211,11,175,City of La Porte,5,1217,,,70,0,21178,1462,,15,31,Includes La Porte County,"Michigan City-La Porte, IN M.S.A.",110465,2007
14212,75,736,Total area actually reporting,25,3244,,,322,7,96.8,4302,,99,206,Includes La Porte County,"Michigan City-La Porte, IN M.S.A.",110465,2007
14213,80,756,Estimated total,26,3348,,,333,7,100,4437,,102,215,Includes La Porte County,"Michigan City-La Porte, IN M.S.A.",110465,2007
14214,4016.7,3030.8,"Rate per 100,000 inhabitants",92.3,301.5,,,,23.5,194.6,684.4,,72.4,6.3,Includes La Porte County,"Michigan City-La Porte, IN M.S.A.",110465,2007
14215,206,833,City of Midland,57,2625,,,208,4,102877,3666,,76,343,Includes Midland County,"Midland, TX M.S.A.",125645,2007
14216,284,1036,Total area actually reporting,68,3043,,,232,4,100,4311,,82,438,Includes Midland County,"Midland, TX M.S.A.",125645,2007
14217,3431.1,2421.9,"Rate per 100,000 inhabitants",65.3,184.6,,,,54.1,348.6,824.5,,226,3.2,Includes Midland County,"Midland, TX M.S.A.",125645,2007
14218,4170,6203,City of Milwaukee,236,24248,,,7748,105,572938,38199,,3529,8040,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties","Milwaukee-Waukesha-West Allis, WI M.S.A.",1516093,2007
14219,49,348,City of Waukesha,12,990,,,67,0,68162,1405,,23,84,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties","Milwaukee-Waukesha-West Allis, WI M.S.A.",1516093,2007
14220,118,584,City of West Allis,9,2290,,,188,2,58366,3062,,91,220,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties","Milwaukee-Waukesha-West Allis, WI M.S.A.",1516093,2007
14221,4797,9365,Total area actually reporting,349,42423,,,8784,110,100,60572,,3974,9230,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties","Milwaukee-Waukesha-West Allis, WI M.S.A.",1516093,2007
14222,3995.3,2798.2,"Rate per 100,000 inhabitants",262.1,579.4,,,,23,608.8,617.7,,316.4,7.3,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties","Milwaukee-Waukesha-West Allis, WI M.S.A.",1516093,2007
14223,2561,6164,"City of Minneapolis, MN",452,13203,,,3176,47,371240,22543,,2520,5580,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN5 and Pierce and St. Croix Counties, WI","Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.5",3202517,2007
14224,1363,2696,"City of St. Paul, MN",173,6346,,,2076,14,271662,11118,,777,2327,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN5 and Pierce and St. Croix Counties, WI","Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.5",3202517,2007
14225,61,356,"City of Bloomington, MN5",,2674,,,180,0,80218,3210,,51,,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN5 and Pierce and St. Croix Counties, WI","Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.5",3202517,2007
14226,32,304,"City of Plymouth, MN5",,995,,,60,0,70737,1359,,9,,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN5 and Pierce and St. Croix Counties, WI","Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.5",3202517,2007
14227,28,188,"City of Eagan, MN5",,1276,,,51,0,63718,1515,,15,,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN5 and Pierce and St. Croix Counties, WI","Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.5",3202517,2007
14228,28,190,"City of Eden Prairie, MN5",,1254,,,31,0,61910,1475,,13,,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN5 and Pierce and St. Croix Counties, WI","Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.5",3202517,2007
14229,21,196,"City of Minnetonka, MN5",,776,,,42,0,49751,1014,,14,,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN5 and Pierce and St. Croix Counties, WI","Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.5",3202517,2007
